2017-08-16 09:18:53,560 INFO  c.p.u.u.ProjectConfigurator [initializeProjectConfigurationsFromFile:48] [main] - Loading project configuration file 'Project.properties'
2017-08-16 09:18:57,822 INFO  c.p.u.u.TestDataProvider [createTestData:133] [TestNG-test=Sample Smoke Tests-1] - Loading test data for class 'com.pega.uiframework.uitest.TestGuest'
2017-08-16 09:18:57,833 INFO  c.p.u.u.ObjectRepository [initialize:54] [TestNG-test=Sample Smoke Tests-1] - Loading locator file: locators.properties
2017-08-16 09:18:58,858 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Sample Smoke Tests-1] - Successfully clicked on element 'ClickonSignInLandingPage' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[1]/a'
2017-08-16 09:18:59,001 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Sample Smoke Tests-1] - Successfully typed text 'Testautomation-guest@guest.com' on element 'Email' with locator value 'XPATH,//*[@id='edit-name']'
2017-08-16 09:18:59,067 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Sample Smoke Tests-1] - Successfully typed text 'DietC0ke' on element 'Password' with locator value 'XPATH,//*[@id='edit-pass']'
2017-08-16 09:19:02,007 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Sample Smoke Tests-1] - Successfully clicked on element 'ClickonSubmit' with locator value 'XPATH,//*[@id='edit-submit']'
2017-08-16 09:19:02,677 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Sample Smoke Tests-1] - Successfully clicked on element 'Logout' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[3]/a'
2017-08-16 09:19:10,155 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Client Tests-1] - Successfully clicked on element 'ClickonSignInLandingPage' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[1]/a'
2017-08-16 09:19:10,305 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Client Tests-1] - Successfully typed text 'Testautomation-client@cisco.com' on element 'Email' with locator value 'XPATH,//*[@id='edit-name']'
2017-08-16 09:19:10,364 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Client Tests-1] - Successfully typed text 'DietC0ke' on element 'Password' with locator value 'XPATH,//*[@id='edit-pass']'
2017-08-16 09:19:28,693 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Client Tests-1] - Successfully clicked on element 'ClickonSubmit' with locator value 'XPATH,//*[@id='edit-submit']'
2017-08-16 09:19:33,387 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=XLS Tests-1] - Successfully clicked on element 'ClickonSignInLandingPage' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[1]/a'
2017-08-16 09:19:33,524 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=XLS Tests-1] - Successfully typed text 'qa.contractor1@pegasystems.com' on element 'Email' with locator value 'XPATH,//*[@id='edit-name']'
2017-08-16 09:19:33,590 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=XLS Tests-1] - Successfully typed text 'Pegasys321+' on element 'Password' with locator value 'XPATH,//*[@id='edit-pass']'
2017-08-16 09:19:48,581 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=XLS Tests-1] - Successfully clicked on element 'ClickonSubmit' with locator value 'XPATH,//*[@id='edit-submit']'
2017-08-16 09:19:49,463 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=XLS Tests-1] - Successfully clicked on element 'Logout' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[3]/a'
2017-08-17 09:03:32,997 INFO  c.p.u.u.ProjectConfigurator [initializeProjectConfigurationsFromFile:48] [main] - Loading project configuration file 'Project.properties'
2017-08-17 09:03:38,206 INFO  c.p.u.u.TestDataProvider [createTestData:133] [TestNG-test=Sample Smoke Tests-1] - Loading test data for class 'com.pega.uiframework.uitest.TestGuest'
2017-08-17 09:03:38,217 INFO  c.p.u.u.ObjectRepository [initialize:54] [TestNG-test=Sample Smoke Tests-1] - Loading locator file: locators.properties
2017-08-17 09:03:39,332 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Sample Smoke Tests-1] - Successfully clicked on element 'ClickonSignInLandingPage' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[1]/a'
2017-08-17 09:03:39,488 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Sample Smoke Tests-1] - Successfully typed text 'Testautomation-guest@guest.com' on element 'Email' with locator value 'XPATH,//*[@id='edit-name']'
2017-08-17 09:03:39,556 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Sample Smoke Tests-1] - Successfully typed text 'DietC0ke' on element 'Password' with locator value 'XPATH,//*[@id='edit-pass']'
2017-08-17 09:03:43,601 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Sample Smoke Tests-1] - Successfully clicked on element 'ClickonSubmit' with locator value 'XPATH,//*[@id='edit-submit']'
2017-08-17 09:03:44,313 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Sample Smoke Tests-1] - Successfully clicked on element 'Logout' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[3]/a'
2017-08-17 09:03:51,239 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Client Tests-1] - Successfully clicked on element 'ClickonSignInLandingPage' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[1]/a'
2017-08-17 09:03:51,398 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Client Tests-1] - Successfully typed text 'Testautomation-client@cisco.com' on element 'Email' with locator value 'XPATH,//*[@id='edit-name']'
2017-08-17 09:03:51,459 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=Client Tests-1] - Successfully typed text 'DietC0ke' on element 'Password' with locator value 'XPATH,//*[@id='edit-pass']'
2017-08-17 09:04:10,224 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Client Tests-1] - Successfully clicked on element 'ClickonSubmit' with locator value 'XPATH,//*[@id='edit-submit']'
2017-08-17 09:04:15,520 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=XLS Tests-1] - Successfully clicked on element 'ClickonSignInLandingPage' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[1]/a'
2017-08-17 09:04:15,688 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=XLS Tests-1] - Successfully typed text 'qa.contractor1@pegasystems.com' on element 'Email' with locator value 'XPATH,//*[@id='edit-name']'
2017-08-17 09:04:15,756 INFO  c.p.u.c.BasePage [type:165] [TestNG-test=XLS Tests-1] - Successfully typed text 'Pegasys321+' on element 'Password' with locator value 'XPATH,//*[@id='edit-pass']'
2017-08-17 09:04:25,309 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=XLS Tests-1] - Successfully clicked on element 'ClickonSubmit' with locator value 'XPATH,//*[@id='edit-submit']'
2017-08-17 09:04:26,644 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=XLS Tests-1] - Successfully clicked on element 'Logout' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[3]/a'
2017-08-17 09:30:27,103 INFO  c.p.u.u.ProjectConfigurator [initializeProjectConfigurationsFromFile:48] [main] - Loading project configuration file 'Project.properties'
2017-08-17 09:30:36,057 INFO  c.p.u.u.TestDataProvider [createTestData:133] [TestNG-test=Sample Smoke Tests-1] - Loading test data for class 'com.pega.uiframework.uitest.TestGuest'
2017-08-17 09:30:36,068 INFO  c.p.u.u.ObjectRepository [initialize:54] [TestNG-test=Sample Smoke Tests-1] - Loading locator file: locators.properties
2017-08-17 09:30:37,182 INFO  c.p.u.c.BasePage [click:122] [TestNG-test=Sample Smoke Tests-1] - Successfully clicked on element 'ClickonSignInLandingPage' with locator value 'XPATH,//*[@id='block-system-user-menu']/ul/li[1]/a'
